ORDER_ID,DATE,DAY_NAME,Order_status,SALES
6386530,"October 1, 2023",Sun,Delivered,236.5
6386163,"October 1, 2023",Sun,Canceled,79
6386359,"October 1, 2023",Sun,Delivered,372.5
6384137,"October 1, 2023",Sun,Delivered,223.5
6387626,"October 1, 2023",Sun,Delivered,114.25
6385983,"October 1, 2023",Sun,Delivered,159
6390255,"October 1, 2023",Sun,Canceled,571.25
6386769,"October 1, 2023",Sun,Delivered,422
6386032,"October 1, 2023",Sun,Delivered,678.5
6387892,"October 1, 2023",Sun,Delivered,114.25
6390461,"October 1, 2023",Sun,Delivered,211.5
6387616,"October 1, 2023",Sun,Delivered,228.5
6387734,"October 1, 2023",Sun,Delivered,786.75
6384209,"October 1, 2023",Sun,Canceled,100
6390736,"October 1, 2023",Sun,Delivered,786.75
6383342,"October 1, 2023",Sun,Delivered,410.25
6390021,"October 1, 2023",Sun,Delivered,200
6390473,"October 1, 2023",Sun,Delivered,223.25
6383469,"October 1, 2023",Sun,Delivered,423.5
6389064,"October 1, 2023",Sun,Delivered,449
6390206,"October 1, 2023",Sun,Delivered,212.25
6385187,"October 1, 2023",Sun,Delivered,230
6384084,"October 1, 2023",Sun,Delivered,477
6387072,"October 1, 2023",Sun,Delivered,100
6390895,"October 1, 2023",Sun,Delivered,215
6389209,"October 1, 2023",Sun,Delivered,387
6388418,"October 1, 2023",Sun,Delivered,401.75
6386160,"October 1, 2023",Sun,Delivered,492.5
6383643,"October 1, 2023",Sun,Delivered,345
6387572,"October 1, 2023",Sun,Delivered,338.5
6386192,"October 1, 2023",Sun,Delivered,170
6389259,"October 1, 2023",Sun,Delivered,"1,339.5"
6390392,"October 1, 2023",Sun,Delivered,103.5
6386379,"October 1, 2023",Sun,Canceled,353.25
6389833,"October 1, 2023",Sun,Delivered,298
6385054,"October 1, 2023",Sun,Delivered,"1,225"
6387774,"October 1, 2023",Sun,Delivered,372.5
6391130,"October 1, 2023",Sun,Delivered,49.5
6386865,"October 1, 2023",Sun,Delivered,57.5
