 PRODUCT_SALES_ORDER_ID , SALES_ORDER_ID ,PRODUCT_ID,SALES
" 67,608,354 "," 6,390,496 ",2778,792.75
" 67,610,357 "," 6,390,795 ",9468,149
" 67,610,388 "," 6,390,802 ",9468,74.5
" 67,610,331 "," 6,390,792 ",417,171
" 67,610,793 "," 6,390,870 ",415,224.5
" 67,612,999 "," 6,391,229 ",2438,381
" 67,613,180 "," 6,391,262 ",9468,149
" 67,613,402 "," 6,391,289 ",2438,762
" 67,590,069 "," 6,387,766 ",974,775.5
" 67,616,852 "," 6,391,780 ",168,287.5
" 67,617,829 "," 6,391,934 ",583,844
" 67,618,080 "," 6,391,966 ",152,163.25
" 67,559,864 "," 6,383,475 ",9468,223.5
" 67,565,419 "," 6,384,214 ",583,1058.75
" 67,589,309 "," 6,387,651 ",417,175
" 67,622,096 "," 6,392,531 ",9468,298
" 67,622,181 "," 6,392,545 ",3900,371.75
" 67,622,273 "," 6,392,559 ",7558,356.75
" 67,622,940 "," 6,392,651 ",142,171
" 67,624,771 "," 6,392,929 ",361,171
" 67,625,276 "," 6,393,012 ",142,174.25
" 67,628,676 "," 6,393,564 ",142,171
" 67,628,918 "," 6,393,604 ",2438,32.25
" 67,629,428 "," 6,393,691 ",1222,294.75
" 67,629,670 "," 6,393,729 ",361,171
" 67,630,038 "," 6,393,791 ",2438,762
" 67,630,376 "," 6,393,847 ",583,211
" 67,632,132 "," 6,394,140 ",2438,161.25
" 67,634,250 "," 6,394,469 ",2778,354
" 67,639,361 "," 6,395,169 ",9081,1173.75
" 67,639,422 "," 6,395,269 ",583,1056.25
" 67,644,137 "," 6,395,982 ",361,171
" 67,599,124 "," 6,389,115 ",168,115
" 67,646,089 "," 6,396,275 ",1080,700.25
" 67,652,249 "," 6,391,237 ",168,57.5
" 67,655,602 "," 6,397,719 ",2438,381
" 67,655,854 "," 6,397,764 ",142,171
" 67,656,289 "," 6,397,829 ",2778,121.75
" 67,656,596 "," 6,397,880 ",1070,205
" 67,658,947 "," 6,398,270 ",9081,1173.75
" 67,660,129 "," 6,398,455 ",2438,32.5
" 67,662,045 "," 6,398,748 ",7558,355
" 67,616,645 "," 6,391,748 ",2438,401.75
" 67,666,120 "," 6,399,368 ",9081,495
" 67,621,879 "," 6,392,496 ",2438,384.75
" 67,669,697 "," 6,399,926 ",583,633
" 67,663,088 "," 6,398,906 ",583,212.25
" 67,685,756 "," 6,402,312 ",2778,563.75
" 67,633,844 "," 6,394,403 ",3900,1858.75
" 67,697,033 "," 6,404,000 ",583,424
" 67,610,787 "," 6,390,870 ",9468,149
